Time,Inv 1 AC-Leistung (W),anomaly_label
"2023-09-14T00:00:00",1328.6202,1
"2023-09-15T00:00:00",2254.0891,1
"2023-09-16T00:00:00",3189.4487,1
"2023-09-17T00:00:00",3691.9937,1
"2023-09-18T00:00:00",2271.8896,1
"2023-09-19T00:00:00",2834.2273,1
"2023-09-20T00:00:00",3431.6689,1
"2023-09-21T00:00:00",2949.3921,1
"2023-09-22T00:00:00",2135.6406,1
"2023-09-23T00:00:00",444.7872,1
"2023-09-24T00:00:00",429.1611,1
"2023-09-25T00:00:00",701.86,1
"2023-09-26T00:00:00",3500.9866,1
"2023-09-27T00:00:00",3441.8601,1
"2023-09-28T00:00:00",3581.906,1
"2023-09-29T00:00:00",3732.5715,1
"2023-09-30T00:00:00",2466.6572,1
"2023-10-01T00:00:00",2954.168825449267,-1
"2023-10-02T00:00:00",3570.6736,1
"2023-10-03T00:00:00",3587.7449,1
"2023-10-04T00:00:00",1446.3217,1
"2023-10-05T00:00:00",3030.6458,1
"2023-10-06T00:00:00",3721.6267,1
"2023-10-07T00:00:00",3263.0071,1
"2023-10-08T00:00:00",669.2482,1
"2023-10-09T00:00:00",2391.3188,1
"2023-10-10T00:00:00",1889.9143,1
"2023-10-11T00:00:00",3538.8298,1
"2023-10-12T00:00:00",2911.822692284769,1
"2023-10-13T00:00:00",3344.9143,1
"2023-10-14T00:00:00",3479.2102,1
"2023-10-15T00:00:00",438.0454,1
"2023-10-16T00:00:00",3765.3914,1
"2023-10-17T00:00:00",3017.9778,1
"2023-10-18T00:00:00",2729.9265,1
"2023-10-19T00:00:00",2078.6231364431897,1
"2023-10-20T00:00:00",1319.0461,1
"2023-10-21T00:00:00",1482.0376,1
"2023-10-22T00:00:00",3028.2749,1
"2023-10-23T00:00:00",2787.7144,1
"2023-10-24T00:00:00",163.6,1
"2023-10-25T00:00:00",897.8626,1
"2023-10-26T00:00:00",1510.9,1
"2023-10-27T00:00:00",1147.45,1
"2023-10-28T00:00:00",2147.2656,1
"2023-10-29T00:00:00",1721.1473,1
"2023-10-30T00:00:00",782.5806,1
"2023-10-31T00:00:00",203.608,1
"2023-11-01T00:00:00",3193.2092,1
"2023-11-02T00:00:00",1131.6666,1
"2023-11-03T00:00:00",495.1465,1
"2023-11-04T00:00:00",2910.135,1
"2023-11-05T00:00:00",2688.8501,1
"2023-11-06T00:00:00",3023.28,1
"2023-11-07T00:00:00",2821.6128,1
"2023-11-08T00:00:00",2888.0081,1
"2023-11-09T00:00:00",2001.2927,1
"2023-11-10T00:00:00",224.6581,1
"2023-11-11T00:00:00",1097.2087406300657,1
"2023-11-12T00:00:00",2198.2952,1
"2023-11-13T00:00:00",968.6334,1
"2023-11-14T00:00:00",1017.975,1
"2023-11-15T00:00:00",1407.1583,1
"2023-11-16T00:00:00",963.475,1
"2023-11-17T00:00:00",691.9474,1
"2023-11-18T00:00:00",964.6949,1
"2023-11-19T00:00:00",1337.0513,1
"2023-11-20T00:00:00",591.4483,1
"2023-11-21T00:00:00",229.78390371787037,-1
"2023-11-22T00:00:00",952.0531,1
"2023-11-23T00:00:00",1217.4562,1
"2023-11-24T00:00:00",318.531,1
"2023-11-25T00:00:00",1160.9224,1
"2023-11-26T00:00:00",1402.949213601533,1
"2023-11-27T00:00:00",933.7679,1
"2023-11-28T00:00:00",896.3091,1
"2023-11-29T00:00:00",199.37862597459477,1
"2023-11-30T00:00:00",132.1308,-1
"2023-12-01T00:00:00",165.2076,1
"2023-12-02T00:00:00",247.1143,1
"2023-12-03T00:00:00",83.8962,-1
"2023-12-04T00:00:00",79.1456,-1
"2023-12-05T00:00:00",348.3394,1
"2023-12-06T00:00:00",1887.4862,1
"2023-12-07T00:00:00",1298.9099,1
"2023-12-08T00:00:00",142.699,1
"2023-12-09T00:00:00",237.3832,1
"2023-12-10T00:00:00",49.7822,1
"2023-12-11T00:00:00",668.972,1
"2023-12-12T00:00:00",2244.0178,1
"2023-12-13T00:00:00",2794,1
"2023-12-14T00:00:00",1312.7222,1
"2023-12-15T00:00:00",1800.6909,1
"2023-12-16T00:00:00",289.4762,1
"2023-12-17T00:00:00",706.9725,1
"2023-12-18T00:00:00",1008.9907,1
"2023-12-19T00:00:00",276.9906,1
"2023-12-20T00:00:00",76.1274,1
"2023-12-21T00:00:00",517.7798,1
"2023-12-22T00:00:00",1296.7181,1
"2023-12-23T00:00:00",2489.0818,1
"2023-12-24T00:00:00",1748.1455,1
"2023-12-25T00:00:00",2015.6608,1
"2023-12-26T00:00:00",1615.5765,1
"2023-12-27T00:00:00",2445.694073583514,1
"2023-12-28T00:00:00",2062.1711,1
"2023-12-29T00:00:00",2602.259,1
"2023-12-30T00:00:00",741.1094143289255,1
"2023-12-31T00:00:00",982.3455,1
"2024-01-01T00:00:00",2419.6758,-1
"2024-01-02T00:00:00",2412.646,-1
"2024-01-03T00:00:00",161.844,-1
"2024-01-04T00:00:00",2595.6577,1
"2024-01-05T00:00:00",930.2484391739332,-1
"2024-01-06T00:00:00",2594.1379,1
"2024-01-07T00:00:00",1451.1913,1
"2024-01-08T00:00:00",1938.4197,1
"2024-01-09T00:00:00",203.0935,1
"2024-01-10T00:00:00",1755.5714,1
"2024-01-11T00:00:00",704.3452,1
"2024-01-12T00:00:00",2025.2655,1
"2024-01-13T00:00:00",1160.2240239714963,1
"2024-01-14T00:00:00",3148.0608,1
"2024-01-15T00:00:00",605.7105,1
"2024-01-16T00:00:00",79.75,1
"2024-01-17T00:00:00",267.5872,1
"2024-01-18T00:00:00",909.5398,1
"2024-01-19T00:00:00",322.7787,1
"2024-01-20T00:00:00",539.8348,1
"2024-01-21T00:00:00",752.931,1
"2024-01-22T00:00:00",125.2212,-1
"2024-01-23T00:00:00",83.0935,-1
"2024-01-24T00:00:00",174.7193,-1
"2024-01-25T00:00:00",232.56150615326143,-1
"2024-01-26T00:00:00",176.3214,1
"2024-01-27T00:00:00",452.6667,1
"2024-01-28T00:00:00",42.35661735317785,-1
"2024-01-29T00:00:00",560.3837878405982,1
"2024-01-30T00:00:00",2583.8196,1
"2024-01-31T00:00:00",3417.6829,1
"2024-02-01T00:00:00",3367.6453,1
"2024-02-02T00:00:00",378.1207,-1
"2024-02-03T00:00:00",2247,1
"2024-02-04T00:00:00",2019.376,1
"2024-02-05T00:00:00",3805.9048,1
"2024-02-06T00:00:00",1847.3096,1
"2024-02-07T00:00:00",3984.937,1
"2024-02-08T00:00:00",1683.9919,1
"2024-02-09T00:00:00",3397.412994429578,-1
"2024-02-10T00:00:00",3942.9612,1
"2024-02-11T00:00:00",2986.5649,1
"2024-02-12T00:00:00",3342.5308,1
"2024-02-13T00:00:00",4006.0923,1
